"yr","site","rain.mean.yr","rain.sum.yr","rain.sum.win","rain.sum.spr","rain.sum.sum","rain.sum.fal","rain.mean.win","rain.mean.spr","rain.mean.sum","rain.mean.fal","rainy.season2.sum","rainy.season2.mean"
1995,"broadleaf",50.7195692062377,608.634830474853,62.7733001708984,133.326496124268,223.38415145874,189.150882720947,20.9244333902995,44.4421653747559,74.46138381958,63.0502942403156,229.890666961669,76.6302223205565
1995,"Lloyd",91.054470539093,1092.65364646912,71.5798625946045,235.004959106446,441.224304199219,344.844520568848,23.8599541982015,78.3349863688152,147.074768066406,114.948173522949,438.477428436279,146.159142812093
1995,"scrub",49.4553049405416,593.463659286499,87.2377834320068,94.2550773620606,210.101055145264,201.869743347168,29.0792611440023,31.4183591206869,70.0336850484212,67.2899144490559,228.280128479004,76.0933761596679
1996,"broadleaf",63.1614333788554,757.937200546265,73.0525722503662,216.329559326172,208.136054992676,260.419013977051,24.3508574167887,72.109853108724,69.3786849975587,86.8063379923502,360.025260925293,120.008420308431
1996,"Lloyd",113.701798995336,1364.42158794403,99.1917791366577,426.868392944335,471.912017822265,366.449398040771,33.0639263788859,142.289464314778,157.304005940755,122.149799346924,598.299507141113,199.433169047038
1996,"scrub",53.5569046338399,642.682855606079,89.2890033721923,169.676540374756,198.382869720459,185.334442138672,29.7630011240641,56.5588467915853,66.1276232401529,61.7781473795572,264.269733428955,88.0899111429849
1997,"broadleaf",46.4349342981974,557.219211578369,63.291467666626,132.910049438477,134.072607040405,226.945087432861,21.0971558888753,44.3033498128255,44.6908690134684,75.6483624776205,278.135879516602,92.7119598388672
1997,"Lloyd",80.0136183897654,960.163420677185,72.0151243209838,225.241035461426,272.170768737793,390.736492156982,24.0050414403279,75.0803451538086,90.7235895792644,130.245497385661,477.664733886719,159.22157796224
1997,"scrub",40.7438065210978,488.925678253173,87.9468669891357,110.444953918457,121.622020721436,168.911836624145,29.3156223297119,36.8149846394857,40.5406735738118,56.3039455413817,210.491806030273,70.1639353434244
1998,"broadleaf",61.3628999392191,736.354799270629,62.5450344085694,218.764595031738,352.138095855712,102.907073974609,20.8483448028565,72.9215316772461,117.379365285237,34.3023579915364,328.434665679931,109.47822189331
1998,"Lloyd",113.707605361938,1364.49126434326,91.1403961181641,393.194145202637,679.034988403321,201.121734619141,30.380132039388,131.064715067546,226.34499613444,67.0405782063802,638.63402557373,212.878008524577
1998,"scrub",59.1077050367991,709.292460441589,87.0650424957275,188.969985961914,319.34948348999,113.907948493957,29.0216808319092,62.989995320638,106.449827829997,37.9693161646525,300.675808906555,100.225269635518
1999,"broadleaf",56.9397044181824,683.276453018189,74.9040489196778,153.930807113647,182.07247543335,272.369121551514,24.9680163065593,51.3102690378825,60.69082514445,90.7897071838378,375.254249572754,125.084749857585
1999,"Lloyd",93.5364769299825,1122.43772315979,96.8019084930419,241.020801544189,341.546527862549,443.068485260009,32.267302831014,80.3402671813964,113.84884262085,147.68949508667,611.205825805664,203.735275268555
